Business Relationship,Fund,Share,ISIN,Date,AUM (€),BR Segmentation,Business Country
ALPHEYS INVEST,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,20712,Bank / Trading Platform,FRANCE
"ANDORRA BANC AGRÍCOL REIG, S.A. / ALLFUNDS INTERN",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,4251,Bank / Private Banking,ANDORRA
"ASESORES Y GESTORES FINANCIEROS, AV,  S.A / ALLFUNDS",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,2781,Bank / Private Banking,SPAIN
AXA FRANCE (CGPI) / MFEX,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,99440,Insurance Company / Unit Link,FRANCE
AXA FRANCE (GESTION PRIVEE) Ext / MFEX,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,33142,Insurance Company / Unit Link,FRANCE
AXA FRANCE (GESTION PRIVEE) Int / MFEX,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,4,Insurance Company / Unit Link,FRANCE
BANCA FINECO,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,2516174,Bank / Retail,ITALY
BANCO ELECTRONICO DE SERVICIO TOTAL SA / Banco BEST / MFEX,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,804,Bank / Retail,PORTUGAL
BANCO INVERSIS S.A.,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,3,Bank / Trading Platform,SPAIN
"BANKINTER, S.A. / ALLFUNDS",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,150556,Bank / Retail,SPAIN
BANQUE CANTONALE DE GENEVE,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,16635,Bank / Private Banking,SWITZERLAND
BANQUE DE LUXEMBOURG / ALLFUNDS INTERN,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,2885,Bank / Private Banking,LUXEMBOURG
BANQUE NEUFLIZE OBC / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,13516,Bank / Private Banking,FRANCE
"BBVA, S.A, SUCCURSALE ITALIANA (BBVA italian Branch)",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,18892,Bank / Retail,ITALY
BFORBANK / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,728,Bank / Online Broker,FRANCE
BIM VITA SPA / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,49,Insurance Company / Unit Link,ITALY
BNP PARIBAS GERMANY/ CONSORSBANK,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,5442,Bank / Online Broker,GERMANY
BNP PARIBAS SA / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,12277,Bank / Private Banking,FRANCE
BOURSORAMA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,1132804,Bank / Online Broker,FRANCE
BRED BANQUE PRIVEE,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,176,Bank / Private Banking,FRANCE
CA INDOSUEZ WEALTH (EUROPE). SUC. EN ESP / BANCO INVERSIS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,4,Bank / Private Banking,SPAIN
CACEIS BANK DEUTSCHLAND GMBH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,1305,Bank / Trading Platform,GERMANY
CACEIS BANK LUXEMBOURG,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,4,Bank / Trading Platform,WORLD
CAISSE D'EPARGNE COTE D'AZUR (DISTRIBUTION),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,1660,Bank / Retail,FRANCE
CARDIF ASSURANCE VIE (GESTION DE FORTUNE) / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,109428,Insurance Company / Unit Link,FRANCE
CARDIF ASSURANCE VIE (UC) / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,194539,Insurance Company / Unit Link,FRANCE
CFM Indosuez Wealth (ex CFM) / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,58408,AM company / Fund of Funds,MONACO
CLIENT INCONNU,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,-566703,Unknown,UNKNOWN
CNP Assurances (Distribution MFEX FRANCE),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,114269,Insurance Company / Unit Link,FRANCE
COMMERZBANK AG - FRANKFURT,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,103180,Bank / Trading Platform,GERMANY
CORNER BANCA SA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,35870,Bank / Private Banking,SWITZERLAND
CRCAM ALPES PROVENCE (Distribution) / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,4159,Bank / Retail,FRANCE
CRCAM CENTRE FRANCE (Distribution) / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,624,Bank / Retail,FRANCE
CRCAM PYRENEES GASCOGNE (Distribution) / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,8318,Bank / Retail,FRANCE
CREDIT AGRICOLE ASSURANCES (ex PREDICA) / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,1,Insurance Company / Unit Link,FRANCE
DEUTSCHE BANK AG / CUSTODIAN,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,5406,Bank / Trading Platform,GERMANY
DEUTSCHE WERTPAPIERSERVICE BANK AG (DWP BANK),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,119859,Bank / Trading Platform,GERMANY
DZ BANK AG,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,8733,Bank / Retail,GERMANY
EDR EUROPE - BP / Advisory,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,103704,Bank / EdR Private Banking,LUXEMBOURG
EDR FRANCE / DCP,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,624,Bank / EdR Private Banking,FRANCE
"EDR FRANCE, DCP PARIS / NOT MANAGED",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,77164,Bank / EdR Private Banking,FRANCE
"EDR FRANCE, DCP PROVINCE / ADVISORY",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,124913,Bank / EdR Private Banking,FRANCE
"EDR FRANCE, EDRAC / AXA FRANCE VIE (Technical)",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,163,Bank / EdR Private Banking,FRANCE
"EDR FRANCE, EDRAC / CRCA / GENERALI (Technical)",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,282539,Bank / EdR Private Banking,FRANCE
"EDR France, PBIA PARIS / Assurances Vie / Managed",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,19235,Bank / EdR Private Banking,FRANCE
EDR MONACO,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,774800,Bank / EdR Private Banking,MONACO
EDR MONACO / Advisory,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,1364363,Bank / EdR Private Banking,MONACO
EDR MONACO / Not Managed,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,365884,Bank / EdR Private Banking,MONACO
EDR SUISSE - GENEVE / Advisory,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,78672,Bank / EdR Private Banking,SWITZERLAND
"EDR SUISSE, SUCCURSALE DE LUGANO / Not Managed",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,41588,Bank / EdR Private Banking,SWITZERLAND
EDRAM FUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,16635,AM company / EdR Fund of Funds,WORLD
FIL Fondsbank GmbH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,4706,Bank / Trading Platform,GERMANY
FLATEX BANK AG,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,63,Bank / Trading Platform,GERMANY
FONDSDEPOT BANK GMBH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,322717,Bank / Trading Platform,GERMANY
FORTUNEO / ARKEA DIRECT BANK / No Rebate,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,13932,Bank / Online Broker,FRANCE
GENERALI VIE (CGPI),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,9258969,Insurance Company / Unit Link,FRANCE
GENERALI VIE (DISTRIBUTION),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,13888453,Insurance Company / Unit Link,FRANCE
ING BELGIUM NV/SA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,2079,Bank / Retail,BELGIUM
ING DIBA AG / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,28072,Bank / Online Broker,GERMANY
LA MONDIALE EUROPARTNER (ex LA HENIN VIE ET LA MONDIALE LUX),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,53328,Insurance Company / Unit Link,LUXEMBOURG
LA MONDIALE PARTENAIRE SA / Déposé EDRF,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,179909,Insurance Company / Unit Link,FRANCE
MERKUR ASSET MANAGEMENT GMBH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,25161,AM company / Fund of Funds,GERMANY
MONTIS ASSET MANAGEMENT SA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,399320,Independant Financial Advisor,SWITZERLAND
NATIXIS LIFE FRANCE / MFEX,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,28923,Insurance Company / Unit Link,FRANCE
NORTIA INVEST / NO REBATE,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,11001,Independant Financial Advisor,FRANCE
NORTIA INVEST /ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,8318,Independant Financial Advisor,FRANCE
NORTIA LA MONDIALE / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,37343,Independant Financial Advisor,FRANCE
ODDO BHF (SUISSE) SA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,9566,Bank / Private Banking,SWITZERLAND
ODDO BHF / MFEX,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,31095,Bank / Private Banking,FRANCE
ONLINE SIM,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,2275,Bank / Trading Platform,ITALY
ORADEA VIE,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,3388,Insurance Company / Unit Link,FRANCE
RAIFFEISEN BANK INTERNATIONAL AG,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,3223,Bank / Trading Platform,AUSTRIA
RBC INVESTOR SERVICES BANK (LUXEMBOURG) S.A,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,415879,Bank / Trading Platform,LUXEMBOURG
RENTA 4 / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,17294,Bank / Private Banking,SPAIN
REYL / ALLFUNDS INTERN,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,36389,Bank / Private Banking,SWITZERLAND
SAXO BANK A/S / ALLFUNDS INTERN,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,6966,Bank / Online Broker,DENMARK
SELENCIA / RETAIL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,565957,Insurance Company / Unit Link,FRANCE
SG PRIVATE BANKING (FRANCE),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,16635,Bank / Private Banking,FRANCE
"SINGULAR BANK, S.A.U. / BANCO INVERSIS",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,70265,Bank / Retail,SPAIN
SIX SIS LTD (ex SEGA INTERSETTLE),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,94300,Bank / Trading Platform,SWITZERLAND
SOCIETE GENERALE SECURITIES SECURITIES SPA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,6436,Bank / Retail,ITALY
SOGECAP,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,266463,Insurance Company / Unit Link,FRANCE
SOGECAP CUSTODIAN,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,1409,Insurance Company / Unit Link,FRANCE
Solidarietà & Finanza SIM S.p.A / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,8736,Independant Financial Advisor,ITALY
SPIRICA / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,375862,Insurance Company / Unit Link,FRANCE
SURAVENIR DISTRIBUTION,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,716510,Insurance Company / Unit Link,FRANCE
SWISS LIFE ASSURANCE ET PATRIMOINE / Référencement,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,1064326,Insurance Company / Unit Link,FRANCE
SWISS LIFE BANQUE PRIVEE / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,118258,Bank / Private Banking,FRANCE
SWISSQUOTE BANK SA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,10966,Bank / Online Broker,SWITZERLAND
TARGOBANK AG & CO. KGAA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,6757,Bank / Retail,GERMANY
UBS AG,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,51357,Bank / Retail,SWITZERLAND
VIE PLUS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - EUR(H),LU1897613763,2025-12-31 05:00:00,717138,Insurance Company / Unit Link,FRANCE
BANK JULIUS BAER & CO. AG,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,176463,Bank / Private Banking,SWITZERLAND
BANK VONTOBEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,140433,Bank / Private Banking,SWITZERLAND
"BANKINTER, S.A. / ALLFUNDS",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,189313,Bank / Retail,SPAIN
BANQUE CRAMER ET CIE,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,33565,Bank / Private Banking,SWITZERLAND
BANQUE J. SAFRA SARASIN LUXEMBOURG / ALLFUNDS INTERN,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,42704,Bank / Private Banking,LUXEMBOURG
"CITIBANK EUROPE PLC, UK Branch",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,14117,Bank / Private Banking,UNITED KINGDOM
CLIENT INCONNU,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,3,Unknown,UNKNOWN
COMMERZBANK AG - FRANKFURT,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,2034,Bank / Trading Platform,GERMANY
"EDR EUROPE, SUCCURSALE EN BELGIQUE / Advisory",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,58821,Bank / EdR Private Banking,BELGIUM
EDR MONACO / Advisory,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,1244064,Bank / EdR Private Banking,MONACO
EFG BANK SA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,43890,Bank / Private Banking,SWITZERLAND
IFSAM - INTERNATIONAL FUND SERVICES AND ASSET MANAGEMENT,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,50857,Bank / Trading Platform,SWITZERLAND
INTERACTIVE BROKERS LLC / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,92385,Bank / Online Broker,UNITED STATES
QUINTET LUXEMBOURG,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,193472,Bank / Private Banking,LUXEMBOURG
"SINGULAR BANK, S.A.U. / BANCO INVERSIS",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,1424,Bank / Retail,SPAIN
SWISSQUOTE BANK SA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,68715,Bank / Online Broker,SWITZERLAND
UBS Wealth Management France,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign A - USD,LU1897607013,2025-12-31 05:00:00,52939,Bank / Private Banking,FRANCE
"ALLFUNDS BANK, S.A.U  / STEC / CONSORS",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,12376,Bank / Trading Platform,SPAIN
ALLIANZ BANK FINANCIAL ADVISORS SPA,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,8221,Bank / Retail,ITALY
Attrax Financial Services S.A,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,44106,Bank / Trading Platform,GERMANY
BANCA FINECO,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,1135110,Bank / Retail,ITALY
BANCA IFIGEST,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,13382,Bank / Retail,ITALY
BNP PARIBAS GERMANY/ CONSORSBANK,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,38598,Bank / Online Broker,GERMANY
CACEIS BANK DEUTSCHLAND GMBH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,133,Bank / Trading Platform,GERMANY
COMMERZBANK AG - FRANKFURT,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,4204,Bank / Trading Platform,GERMANY
DEUTSCHE AWM INVEST. FRANKFURT / DWS INVESTMENT GMBH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,3137,AM company / Fund of Funds,GERMANY
DEUTSCHE AWM INVEST. LUXEMBOURG / DWS INVESTMENT GMBH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,2326,AM company / Fund of Funds,LUXEMBOURG
DEUTSCHE WERTPAPIERSERVICE BANK AG (DWP BANK),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,34696,Bank / Trading Platform,GERMANY
FIL Fondsbank GmbH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,39475,Bank / Trading Platform,GERMANY
FONDSDEPOT BANK GMBH,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,26587,Bank / Trading Platform,GERMANY
MEDIOBANCA PREMIER (ex. CHEBANCA! S.P.A.) / AFB ITALY,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,2862,Bank / Retail,ITALY
RENTA 4 / ALLFUNDS,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,3849,Bank / Private Banking,SPAIN
V-BANK,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign B - EUR(H),LU1897614068,2025-12-31 05:00:00,66,Bank / Trading Platform,GERMANY
BANQUE CANTONALE VAUDOISE,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,103829,Bank / Retail,SWITZERLAND
BANQUE POPULAIRE D'ALSACE LORRAINE CHAMPAGNE (Distribution),EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,1,Bank / Retail,FRANCE
CIC - OUEST,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,1049,Bank / Retail,FRANCE
CLIENT INCONNU,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,-12582,Unknown,UNKNOWN
CRCAM NORMANDIE SEINE (Distribution) / FUND CHANNEL,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,20941,Bank / Retail,FRANCE
EDR EUROPE - CUSTODIAN,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,263610,Bank / EdR Private Banking,LUXEMBOURG
"EDR EUROPE, SUCURSAL EM PORTUGAL / Not Managed",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,206261,Bank / EdR Private Banking,PORTUGAL
EDR FRANCE / DCP,EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,-5714,Bank / EdR Private Banking,FRANCE
"EDR FRANCE, DCP PARIS / NOT MANAGED",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,64666,Bank / EdR Private Banking,FRANCE
"EDR FRANCE, DCP PROVINCE / ADVISORY",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,92824,Bank / EdR Private Banking,FRANCE
"EDR FRANCE, DCP PROVINCE / NOT MANAGED",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,1180,Bank / EdR Private Banking,FRANCE
"EDR France, PBIA PARIS / Assurances Vie / Managed",EdR Fund Emerging Sovereign,EdR Fund Emerging Sovereign CR - EUR(H),LU1897614571,2025-12-31 05:00:00,465781,Bank / EdR Private Banking,FRANCE
